camera_base_pose.position.x=2.68988 camera_base_pose.position.y=-0.286784 camera_base_pose.position.z=-0.434625
camera_base_pose.position.x=2.7449 camera_base_pose.position.y=-0.308332 camera_base_pose.position.z=-0.476524
camera_base_pose.position.x=2.7606 camera_base_pose.position.y=-0.318023 camera_base_pose.position.z=-0.479411
camera_base_pose.position.x=2.7704 camera_base_pose.position.y=-0.302559 camera_base_pose.position.z=-0.467534
camera_base_pose.position.x=2.78292 camera_base_pose.position.y=-0.275025 camera_base_pose.position.z=-0.467887
camera_base_pose.position.x=2.81132 camera_base_pose.position.y=-0.32085 camera_base_pose.position.z=-0.490234
camera_base_pose.position.x=2.81801 camera_base_pose.position.y=-0.302457 camera_base_pose.position.z=-0.46626
camera_base_pose.position.x=2.84361 camera_base_pose.position.y=-0.304973 camera_base_pose.position.z=-0.476096
camera_base_pose.position.x=2.87798 camera_base_pose.position.y=-0.313921 camera_base_pose.position.z=-0.49221
camera_base_pose.position.x=2.88462 camera_base_pose.position.y=-0.29404 camera_base_pose.position.z=-0.487268
camera_base_pose.position.x=2.90489 camera_base_pose.position.y=-0.286619 camera_base_pose.position.z=-0.468987
camera_base_pose.position.x=2.91521 camera_base_pose.position.y=-0.27781 camera_base_pose.position.z=-0.45886
camera_base_pose.position.x=2.93396 camera_base_pose.position.y=-0.273566 camera_base_pose.position.z=-0.468913
camera_base_pose.position.x=2.96963 camera_base_pose.position.y=-0.308944 camera_base_pose.position.z=-0.487337
camera_base_pose.position.x=2.99862 camera_base_pose.position.y=-0.284482 camera_base_pose.position.z=-0.470952
camera_base_pose.position.x=2.99259 camera_base_pose.position.y=-0.292246 camera_base_pose.position.z=-0.462078
camera_base_pose.position.x=3.02349 camera_base_pose.position.y=-0.277714 camera_base_pose.position.z=-0.466107
camera_base_pose.position.x=3.03463 camera_base_pose.position.y=-0.275062 camera_base_pose.position.z=-0.466116
camera_base_pose.position.x=3.03815 camera_base_pose.position.y=-0.279341 camera_base_pose.position.z=-0.457372
camera_base_pose.position.x=3.0525 camera_base_pose.position.y=-0.253522 camera_base_pose.position.z=-0.429628
camera_base_pose.position.x=3.08074 camera_base_pose.position.y=-0.299564 camera_base_pose.position.z=-0.466381
camera_base_pose.position.x=3.08333 camera_base_pose.position.y=-0.28785 camera_base_pose.position.z=-0.460528
camera_base_pose.position.x=3.10307 camera_base_pose.position.y=-0.255327 camera_base_pose.position.z=-0.44175
camera_base_pose.position.x=3.11853 camera_base_pose.position.y=-0.25804 camera_base_pose.position.z=-0.455455
camera_base_pose.position.x=3.14418 camera_base_pose.position.y=-0.264452 camera_base_pose.position.z=-0.459552
camera_base_pose.position.x=3.14777 camera_base_pose.position.y=-0.240317 camera_base_pose.position.z=-0.443033
camera_base_pose.position.x=3.16442 camera_base_pose.position.y=-0.293583 camera_base_pose.position.z=-0.466528
camera_base_pose.position.x=3.18348 camera_base_pose.position.y=-0.246659 camera_base_pose.position.z=-0.457189
camera_base_pose.position.x=3.20708 camera_base_pose.position.y=-0.287454 camera_base_pose.position.z=-0.454088
camera_base_pose.position.x=3.22208 camera_base_pose.position.y=-0.291415 camera_base_pose.position.z=-0.451097
camera_base_pose.position.x=3.23812 camera_base_pose.position.y=-0.299888 camera_base_pose.position.z=-0.438127
camera_base_pose.position.x=3.25902 camera_base_pose.position.y=-0.241699 camera_base_pose.position.z=-0.440545
camera_base_pose.position.x=3.2804 camera_base_pose.position.y=-0.184409 camera_base_pose.position.z=-0.442092
camera_base_pose.position.x=3.16849 camera_base_pose.position.y=-0.294856 camera_base_pose.position.z=-0.626696
camera_base_pose.position.x=3.19077 camera_base_pose.position.y=-0.295751 camera_base_pose.position.z=-0.636042
camera_base_pose.position.x=3.21356 camera_base_pose.position.y=-0.302934 camera_base_pose.position.z=-0.629532
camera_base_pose.position.x=3.23865 camera_base_pose.position.y=-0.303682 camera_base_pose.position.z=-0.638508
camera_base_pose.position.x=3.24175 camera_base_pose.position.y=-0.287606 camera_base_pose.position.z=-0.625521
camera_base_pose.position.x=3.23733 camera_base_pose.position.y=-0.318386 camera_base_pose.position.z=-0.631458
camera_base_pose.position.x=3.29416 camera_base_pose.position.y=-0.316712 camera_base_pose.position.z=-0.635132
camera_base_pose.position.x=3.31017 camera_base_pose.position.y=-0.32167 camera_base_pose.position.z=-0.64639
camera_base_pose.position.x=3.33699 camera_base_pose.position.y=-0.333678 camera_base_pose.position.z=-0.645788
camera_base_pose.position.x=3.32994 camera_base_pose.position.y=-0.354716 camera_base_pose.position.z=-0.64447
camera_base_pose.position.x=3.3741 camera_base_pose.position.y=-0.356524 camera_base_pose.position.z=-0.649859
camera_base_pose.position.x=3.37079 camera_base_pose.position.y=-0.333346 camera_base_pose.position.z=-0.652104
camera_base_pose.position.x=3.41457 camera_base_pose.position.y=-0.347978 camera_base_pose.position.z=-0.658313
camera_base_pose.position.x=3.42799 camera_base_pose.position.y=-0.348009 camera_base_pose.position.z=-0.667879
camera_base_pose.position.x=3.44778 camera_base_pose.position.y=-0.343095 camera_base_pose.position.z=-0.659185
camera_base_pose.position.x=3.46218 camera_base_pose.position.y=-0.342766 camera_base_pose.position.z=-0.653851
camera_base_pose.position.x=3.49172 camera_base_pose.position.y=-0.356245 camera_base_pose.position.z=-0.662653
camera_base_pose.position.x=3.50485 camera_base_pose.position.y=-0.373702 camera_base_pose.position.z=-0.659344
camera_base_pose.position.x=3.5444 camera_base_pose.position.y=-0.351744 camera_base_pose.position.z=-0.680935
camera_base_pose.position.x=3.56385 camera_base_pose.position.y=-0.353866 camera_base_pose.position.z=-0.683307
camera_base_pose.position.x=3.58123 camera_base_pose.position.y=-0.366826 camera_base_pose.position.z=-0.682624
camera_base_pose.position.x=3.60981 camera_base_pose.position.y=-0.361336 camera_base_pose.position.z=-0.683503
camera_base_pose.position.x=3.63396 camera_base_pose.position.y=-0.350908 camera_base_pose.position.z=-0.694849
camera_base_pose.position.x=3.64633 camera_base_pose.position.y=-0.350349 camera_base_pose.position.z=-0.688493
camera_base_pose.position.x=3.6553 camera_base_pose.position.y=-0.387262 camera_base_pose.position.z=-0.676367
camera_base_pose.position.x=3.68816 camera_base_pose.position.y=-0.345358 camera_base_pose.position.z=-0.685116
camera_base_pose.position.x=3.71256 camera_base_pose.position.y=-0.311934 camera_base_pose.position.z=-0.680497
camera_base_pose.position.x=3.73161 camera_base_pose.position.y=-0.335712 camera_base_pose.position.z=-0.671484
camera_base_pose.position.x=3.7634 camera_base_pose.position.y=-0.318071 camera_base_pose.position.z=-0.696412
camera_base_pose.position.x=3.78036 camera_base_pose.position.y=-0.332336 camera_base_pose.position.z=-0.692483
camera_base_pose.position.x=3.80718 camera_base_pose.position.y=-0.324094 camera_base_pose.position.z=-0.688727
camera_base_pose.position.x=3.84159 camera_base_pose.position.y=-0.399154 camera_base_pose.position.z=-0.685469
camera_base_pose.position.x=3.85347 camera_base_pose.position.y=-0.40199 camera_base_pose.position.z=-0.695029
camera_base_pose.position.x=3.86828 camera_base_pose.position.y=-0.408339 camera_base_pose.position.z=-0.698059
camera_base_pose.position.x=3.88422 camera_base_pose.position.y=-0.422196 camera_base_pose.position.z=-0.690519
camera_base_pose.position.x=3.91189 camera_base_pose.position.y=-0.525928 camera_base_pose.position.z=-0.68669
camera_base_pose.position.x=3.93389 camera_base_pose.position.y=-0.491288 camera_base_pose.position.z=-0.691069
camera_base_pose.position.x=3.94299 camera_base_pose.position.y=-0.480687 camera_base_pose.position.z=-0.684616
camera_base_pose.position.x=3.9557 camera_base_pose.position.y=-0.49918 camera_base_pose.position.z=-0.682441
camera_base_pose.position.x=3.96898 camera_base_pose.position.y=-0.506769 camera_base_pose.position.z=-0.686473
camera_base_pose.position.x=3.9836 camera_base_pose.position.y=-0.594823 camera_base_pose.position.z=-0.673276
camera_base_pose.position.x=4.00373 camera_base_pose.position.y=-0.608396 camera_base_pose.position.z=-0.679788
camera_base_pose.position.x=4.01775 camera_base_pose.position.y=-0.593184 camera_base_pose.position.z=-0.687084
camera_base_pose.position.x=4.02826 camera_base_pose.position.y=-0.611543 camera_base_pose.position.z=-0.677884
camera_base_pose.position.x=4.03786 camera_base_pose.position.y=-0.598281 camera_base_pose.position.z=-0.668996
camera_base_pose.position.x=4.07248 camera_base_pose.position.y=-0.602006 camera_base_pose.position.z=-0.67653
camera_base_pose.position.x=4.0928 camera_base_pose.position.y=-0.633725 camera_base_pose.position.z=-0.673393
camera_base_pose.position.x=4.12364 camera_base_pose.position.y=-0.607603 camera_base_pose.position.z=-0.68852
camera_base_pose.position.x=4.13545 camera_base_pose.position.y=-0.622279 camera_base_pose.position.z=-0.677731
camera_base_pose.position.x=4.18411 camera_base_pose.position.y=-0.645593 camera_base_pose.position.z=-0.687016
camera_base_pose.position.x=4.1904 camera_base_pose.position.y=-0.617728 camera_base_pose.position.z=-0.682743
camera_base_pose.position.x=4.22891 camera_base_pose.position.y=-0.629198 camera_base_pose.position.z=-0.694959
camera_base_pose.position.x=4.24248 camera_base_pose.position.y=-0.62268 camera_base_pose.position.z=-0.691479
camera_base_pose.position.x=4.25605 camera_base_pose.position.y=-0.616162 camera_base_pose.position.z=-0.687999
camera_base_pose.position.x=4.26963 camera_base_pose.position.y=-0.609644 camera_base_pose.position.z=-0.684518
camera_base_pose.position.x=4.2832 camera_base_pose.position.y=-0.603126 camera_base_pose.position.z=-0.681038
camera_base_pose.position.x=4.29677 camera_base_pose.position.y=-0.596608 camera_base_pose.position.z=-0.677558
camera_base_pose.position.x=4.31034 camera_base_pose.position.y=-0.59009 camera_base_pose.position.z=-0.674078
