ALLrealsec=0 ,realsec=0 ,CameraLM[4][0]=3.01654,CameraLM[4][1]=0.265728
ALLrealsec=34.6263 ,realsec=0.114801 ,CameraLM[6][0]=4.3462,CameraLM[6][1]=-0.280877
ALLrealsec=34.7642 ,realsec=0.137915 ,CameraLM[6][0]=4.34809,CameraLM[6][1]=-0.282376
ALLrealsec=34.8616 ,realsec=0.097384 ,CameraLM[6][0]=4.32093,CameraLM[6][1]=-0.282376
ALLrealsec=34.9688 ,realsec=0.107239 ,CameraLM[6][0]=4.29618,CameraLM[6][1]=-0.283875
ALLrealsec=35.0642 ,realsec=0.09535 ,CameraLM[6][0]=4.32282,CameraLM[6][1]=-0.283875
ALLrealsec=35.1836 ,realsec=0.119466 ,CameraLM[6][0]=4.29618,CameraLM[6][1]=-0.283875
ALLrealsec=35.2747 ,realsec=0.091069 ,CameraLM[6][0]=4.27009,CameraLM[6][1]=-0.283875
ALLrealsec=35.3849 ,realsec=0.110257 ,CameraLM[6][0]=4.27009,CameraLM[6][1]=-0.283875
ALLrealsec=35.5086 ,realsec=0.123694 ,CameraLM[6][0]=4.24759,CameraLM[6][1]=-0.286867
ALLrealsec=35.6422 ,realsec=0.133572 ,CameraLM[6][0]=4.22565,CameraLM[6][1]=-0.289855
ALLrealsec=35.7608 ,realsec=0.11864 ,CameraLM[6][0]=4.20169,CameraLM[6][1]=-0.291346
ALLrealsec=35.8859 ,realsec=0.125093 ,CameraLM[6][0]=4.20169,CameraLM[6][1]=-0.291346
ALLrealsec=35.9794 ,realsec=0.093452 ,CameraLM[6][0]=4.20169,CameraLM[6][1]=-0.291346
ALLrealsec=36.091 ,realsec=0.111563 ,CameraLM[6][0]=4.20169,CameraLM[6][1]=-0.291346
ALLrealsec=36.1848 ,realsec=0.093829 ,CameraLM[6][0]=4.15544,CameraLM[6][1]=-0.294326
ALLrealsec=36.2964 ,realsec=0.111595 ,CameraLM[6][0]=4.15732,CameraLM[6][1]=-0.295813
ALLrealsec=36.3893 ,realsec=0.092921 ,CameraLM[6][0]=4.13625,CameraLM[6][1]=-0.298785
ALLrealsec=36.487 ,realsec=0.097673 ,CameraLM[6][0]=4.14005,CameraLM[6][1]=-0.301751
ALLrealsec=36.5856 ,realsec=0.098601 ,CameraLM[6][0]=4.11696,CameraLM[6][1]=-0.303232
ALLrealsec=36.6867 ,realsec=0.10117 ,CameraLM[6][0]=4.12272,CameraLM[6][1]=-0.307666
ALLrealsec=36.9071 ,realsec=0.220316 ,CameraLM[6][0]=4.1002,CameraLM[6][1]=-0.309141
ALLrealsec=36.9635 ,realsec=0.056413 ,CameraLM[6][0]=4.0802,CameraLM[6][1]=-0.312088
ALLrealsec=37.0291 ,realsec=0.065611 ,CameraLM[6][0]=4.11195,CameraLM[6][1]=-0.317964
ALLrealsec=37.1264 ,realsec=0.097268 ,CameraLM[6][0]=4.06597,CameraLM[6][1]=-0.31943
ALLrealsec=37.2371 ,realsec=0.110764 ,CameraLM[6][0]=4.00006,CameraLM[6][1]=-0.322357
ALLrealsec=37.3821 ,realsec=0.145009 ,CameraLM[6][0]=3.89175,CameraLM[6][1]=-0.325278
ALLrealsec=37.477 ,realsec=0.094836 ,CameraLM[6][0]=3.8956,CameraLM[6][1]=-0.328194
ALLrealsec=37.6064 ,realsec=0.1294 ,CameraLM[6][0]=3.89754,CameraLM[6][1]=-0.329649
ALLrealsec=37.7649 ,realsec=0.158584 ,CameraLM[6][0]=3.83475,CameraLM[6][1]=-0.331103
ALLrealsec=37.8993 ,realsec=0.134401 ,CameraLM[6][0]=3.8386,CameraLM[6][1]=-0.334007
ALLrealsec=38.0026 ,realsec=0.103236 ,CameraLM[6][0]=3.77921,CameraLM[6][1]=-0.336905
ALLrealsec=38.1208 ,realsec=0.118172 ,CameraLM[6][0]=3.75899,CameraLM[6][1]=-0.336905
ALLrealsec=38.2573 ,realsec=0.136551 ,CameraLM[6][0]=3.70629,CameraLM[6][1]=-0.342683
ALLrealsec=38.3733 ,realsec=0.11596 ,CameraLM[6][0]=3.7082,CameraLM[6][1]=-0.344124
ALLrealsec=38.5057 ,realsec=0.132405 ,CameraLM[6][0]=3.65522,CameraLM[6][1]=-0.348438
ALLrealsec=38.6211 ,realsec=0.115455 ,CameraLM[6][0]=3.6782,CameraLM[6][1]=-0.351306
ALLrealsec=38.7672 ,realsec=0.146071 ,CameraLM[6][0]=3.64755,CameraLM[6][1]=-0.357025
ALLrealsec=38.8735 ,realsec=0.106344 ,CameraLM[6][0]=3.65145,CameraLM[6][1]=-0.359875
ALLrealsec=38.9817 ,realsec=0.10819 ,CameraLM[6][0]=3.65145,CameraLM[6][1]=-0.359875
ALLrealsec=39.0738 ,realsec=0.092078 ,CameraLM[6][0]=3.61548,CameraLM[6][1]=-0.361298
ALLrealsec=39.1714 ,realsec=0.097621 ,CameraLM[6][0]=3.60071,CameraLM[6][1]=-0.364139
